title,filename,relative_path,orientation,dimensions,category,game_types,environment,mood,style,dominant_color,dominant_hex,palette_colors,palette_hex,ui_status,description,keywords,original_filename
Cloudblob Cliffs,cloudblob-cliffs.png,Landscape 1920x1080/Kids & Casual/cloudblob-cliffs.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; casual adventure; puzzle,mountain cliffs; blob creatures; floating islands; clouds,adventurous; airy; playful,cartoon two-dimensional; colorful platformer art; side-scroller,teal,#56BDD4,teal; green,#56BDD4; #3A642D; #80CBD3; #599C78; #BDE7EC,No baked-in UI detected,Friendly blob creatures populate a breezy mountain platforming world. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; casual adventure; puzzle; mountain cliffs; blob creatures; floating islands; clouds; adventurous; airy; playful; cartoon two-dimensional; colorful platformer art; side-scroller; teal; green,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_5adfa07f-a104-4bed-9b9c-18a60b9fa4e7_3.png
Bath Time Brightside,bath-time-brightside.png,Landscape 1920x1080/Simulation & Lifestyle/bath-time-brightside.png,Landscape,1920x1080,Simulation & Lifestyle,life simulation; dress-up game; home decoration; kids game,colorful bathroom; laundry room; child; toys,cheerful; cozy; polished,stylized three-dimensional; cartoon character; casual game art,teal,#4CB3BB,teal; gold; red; green,#4CB3BB; #948272; #6D3C3B; #93E0CC; #C0B388,No baked-in UI detected,A cheerful child stands in a colorful bathroom and laundry room filled with toys. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Simulation & Lifestyle; life simulation; dress-up game; home decoration; kids game; colorful bathroom; laundry room; child; toys; cheerful; cozy; polished; stylized three-dimensional; cartoon character; casual game art; teal; gold; red; green,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_901d09ee-6a70-4fb9-9f73-ae0263a204f2_0.png
Pumpkin Cat Forest,pumpkin-cat-forest.png,Landscape 1920x1080/Kids & Casual/pumpkin-cat-forest.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; adventure; puzzle,orange monster forest; cats; platforms; spooky trees,spooky-cute; playful; energetic,cartoon two-dimensional; colorful platformer art; side-scroller,violet,#642D5E,violet; peach; crimson; orange; gold,#642D5E; #F89C50; #BC345C; #9B7463; #C7984F,HUD and UI cropped from frame,Cute cats and odd monsters crowd an orange-and-purple forest platforming stage. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; adventure; puzzle; orange monster forest; cats; platforms; spooky trees; spooky-cute; playful; energetic; cartoon two-dimensional; colorful platformer art; side-scroller; violet; peach; crimson; orange; gold,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_901d09ee-6a70-4fb9-9f73-ae0263a204f2_1.png
Sunnycat Sprint,sunnycat-sprint.png,Landscape 1920x1080/Kids & Casual/sunnycat-sprint.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; endless runner; casual arcade,sunny forest; red cat; floating blocks; grassland,bright; friendly; upbeat,cartoon two-dimensional; colorful platformer art; side-scroller,olive,#617D20,olive; teal; orange; lime,#617D20; #6FC2D0; #773B0B; #90CAC8; #B4C88A,HUD and UI cropped from frame,A red cat bounds through a sunny forest course of floating grassy blocks. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; endless runner; casual arcade; sunny forest; red cat; floating blocks; grassland; bright; friendly; upbeat; cartoon two-dimensional; colorful platformer art; side-scroller; olive; teal; orange; lime,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_901d09ee-6a70-4fb9-9f73-ae0263a204f2_2.png
Mushroom Moonhop,mushroom-moonhop.png,Landscape 1920x1080/Kids & Casual/mushroom-moonhop.png,Landscape,1920x1080,Kids & Casual,platformer; kids game; adventure; puzzle,colorful mushroom forest; flying cats; platforms; flowering trees,whimsical; dreamy; vibrant,cartoon two-dimensional; colorful platformer art; side-scroller,olive,#324120,olive; teal; red; orange; green,#324120; #278093; #AF3448; #A48470; #46826F,No baked-in UI detected,Flying cats and giant mushrooms fill a vivid enchanted forest platforming level. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Kids & Casual; platformer; kids game; adventure; puzzle; colorful mushroom forest; flying cats; platforms; flowering trees; whimsical; dreamy; vibrant; cartoon two-dimensional; colorful platformer art; side-scroller; olive; teal; red; orange; green,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_901d09ee-6a70-4fb9-9f73-ae0263a204f2_3.png
Sharkberry Reef,sharkberry-reef.png,Portrait 1080x1920/Kids & Casual/sharkberry-reef.png,Portrait,1080x1920,Kids & Casual,underwater adventure; match-three; kids game; casual arcade,coral reef; shark; tropical fish; bubbles,playful; aquatic; bright,stylized three-dimensional; cartoon; mobile game art,teal,#14B3D4,teal; magenta; turquoise,#14B3D4; #AA4899; #1DB7DB; #50889B; #75CCBB,HUD and UI cropped from frame,A smiling shark swims through a bright coral reef crowded with tropical fish. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Kids & Casual; underwater adventure; match-three; kids game; casual arcade; coral reef; shark; tropical fish; bubbles; playful; aquatic; bright; stylized three-dimensional; cartoon; mobile game art; teal; magenta; turquoise,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_d16fee37-309f-47e1-9793-c75095fc4759_1.png
Pocket Lab Pals,pocket-lab-pals.png,Portrait 1080x1920/Characters & Lifestyle/pocket-lab-pals.png,Portrait,1080x1920,Characters & Lifestyle,pet care; doctor simulation; time management; kids game,colorful clinic; laboratory; child; dog,friendly; busy; educational,stylized three-dimensional; cartoon character; casual game art,teal,#65BABD,teal; orange; gold,#65BABD; #684F43; #5F8682; #C8B499; #AAD8D0,HUD and UI cropped from frame,"A young helper and dog stand inside a colorful, gadget-filled clinic and lab. Optimized as a 1080 by 1920 portrait game background.",game background; environment art; ui-free; background only; portrait; full hd; Characters & Lifestyle; pet care; doctor simulation; time management; kids game; colorful clinic; laboratory; child; dog; friendly; busy; educational; stylized three-dimensional; cartoon character; casual game art; teal; orange; gold,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_d16fee37-309f-47e1-9793-c75095fc4759_2.png
Candy River Quest,candy-river-quest.png,Portrait 1080x1920/Kids & Casual/candy-river-quest.png,Portrait,1080x1920,Kids & Casual,match-three; board game; puzzle; casual,winding candy map; castles; mushrooms; fantasy river,sweet; whimsical; inviting,stylized three-dimensional; cartoon map; mobile game art,gold,#9A8562,gold; teal; lime; green; crimson,#9A8562; #147D80; #A4B573; #5EA178; #7D5A62,HUD and UI cropped from frame,"A winding candy-colored river map leads past castles, mushrooms, and playful landmarks. Optimized as a 1080 by 1920 portrait game background.",game background; environment art; ui-free; background only; portrait; full hd; Kids & Casual; match-three; board game; puzzle; casual; winding candy map; castles; mushrooms; fantasy river; sweet; whimsical; inviting; stylized three-dimensional; cartoon map; mobile game art; gold; teal; lime; green; crimson,silverlakeslayer_kids_casual_video_game_screenshot_--no_ui_--_d16fee37-309f-47e1-9793-c75095fc4759_3.png
Cactus Chomp Canyon,cactus-chomp-canyon.png,Landscape 1920x1080/Adventure & Platformer/cactus-chomp-canyon.png,Landscape,1920x1080,Adventure & Platformer,platformer; adventure; kids game; casual,desert canyon; cactus; flying green creature; platforms,playful; bold; sunny,cartoon two-dimensional; colorful platformer art; side-scroller,red,#E05047,red; orange; teal; green,#E05047; #743D1F; #38C8DF; #61E0DE; #7F9A6E,HUD and UI cropped from frame,A grumpy green flyer crosses a bright desert canyon filled with cacti and ledges. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; adventure; kids game; casual; desert canyon; cactus; flying green creature; platforms; playful; bold; sunny; cartoon two-dimensional; colorful platformer art; side-scroller; red; orange; teal; green,silverlakeslayer_mobile_casual_game_screenshot_--no_ui_--ar_1_4f3e53f9-1520-4978-b7b8-2c3180bb2725_1.png
Foxglove Meadow,foxglove-meadow.png,Landscape 1920x1080/Adventure & Platformer/foxglove-meadow.png,Landscape,1920x1080,Adventure & Platformer,platformer; cozy adventure; kids game; exploration,autumn meadow; foxes; giant mushroom; woodland,peaceful; whimsical; warm,painterly two-dimensional; storybook art; side-scroller,teal,#8AC5CC,teal; yellow; brown; gold,#8AC5CC; #454018; #9D8547; #C8B995; #95C7CB,No baked-in UI detected,Foxes roam a warm autumn meadow beneath an oversized mushroom and pastel sky. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; cozy adventure; kids game; exploration; autumn meadow; foxes; giant mushroom; woodland; peaceful; whimsical; warm; painterly two-dimensional; storybook art; side-scroller; teal; yellow; brown; gold,silverlakeslayer_mobile_casual_game_screenshot_--no_ui_--ar_1_4f3e53f9-1520-4978-b7b8-2c3180bb2725_2.png
Cubeface Carnival,cubeface-carnival.png,Landscape 1920x1080/Adventure & Platformer/cubeface-carnival.png,Landscape,1920x1080,Adventure & Platformer,platformer; puzzle platformer; kids game; casual,colorful block world; cube creature; panda; floating platforms,quirky; cheerful; bright,cartoon two-dimensional; colorful platformer art; side-scroller,teal,#37BCBE,teal; red; gold; green,#37BCBE; #C6364A; #A48D59; #4BC6B0; #7AD07E,No baked-in UI detected,A friendly cube creature floats through a bright block world above a tiny panda. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; puzzle platformer; kids game; casual; colorful block world; cube creature; panda; floating platforms; quirky; cheerful; bright; cartoon two-dimensional; colorful platformer art; side-scroller; teal; red; gold; green,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_5b2db63f-0791-402d-be3a-488864bf6674_0.png
Block Balloon Bay,block-balloon-bay.png,Landscape 1920x1080/Adventure & Platformer/block-balloon-bay.png,Landscape,1920x1080,Adventure & Platformer,platformer; puzzle; casual adventure; kids game,floating block city; balloons; clouds; platforms,buoyant; colorful; energetic,cartoon two-dimensional; colorful platformer art; side-scroller,turquoise,#5EB2DA,turquoise; red; teal; silver,#5EB2DA; #6B3025; #A2E4DB; #88CDC7; #727B7D,No baked-in UI detected,"Floating cubes, balloons, and stacked city blocks form a playful airborne platform course. Optimized as a 1920 by 1080 landscape game background.",game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; puzzle; casual adventure; kids game; floating block city; balloons; clouds; platforms; buoyant; colorful; energetic; cartoon two-dimensional; colorful platformer art; side-scroller; turquoise; red; teal; silver,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_5b2db63f-0791-402d-be3a-488864bf6674_1.png
Rosy Ridge Run,rosy-ridge-run.png,Landscape 1920x1080/Adventure & Platformer/rosy-ridge-run.png,Landscape,1920x1080,Adventure & Platformer,platformer; precision platformer; minimalist adventure; indie game,pink cliffs; small red character; clouds; distant city,dreamy; calm; focused,pixel art; minimalist two-dimensional; side-scroller,teal,#66BED3,teal; orange; magenta,#66BED3; #573117; #5FBAD0; #75C7D4; #968191,No baked-in UI detected,A tiny red traveler crosses spare pink cliffs under a quiet cloud-filled sky. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; precision platformer; minimalist adventure; indie game; pink cliffs; small red character; clouds; distant city; dreamy; calm; focused; pixel art; minimalist two-dimensional; side-scroller; teal; orange; magenta,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_5b2db63f-0791-402d-be3a-488864bf6674_2.png
Candybrick Canyon,candybrick-canyon.png,Landscape 1920x1080/Adventure & Platformer/candybrick-canyon.png,Landscape,1920x1080,Adventure & Platformer,platformer; puzzle; casual adventure; kids game,pastel block ruins; floating cubes; desert; clouds,playful; airy; vibrant,painterly two-dimensional; colorful platformer art; side-scroller,turquoise,#51A8D9,turquoise; rose; blue; teal,#51A8D9; #D7575C; #3D3F58; #69D3DF; #5895D8,No baked-in UI detected,Pastel block ruins and floating cubes fill a bright candy-colored canyon. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; puzzle; casual adventure; kids game; pastel block ruins; floating cubes; desert; clouds; playful; airy; vibrant; painterly two-dimensional; colorful platformer art; side-scroller; turquoise; rose; blue; teal,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_5b2db63f-0791-402d-be3a-488864bf6674_3.png
Bunny Moon Bounce,bunny-moon-bounce.png,Landscape 1920x1080/Adventure & Platformer/bunny-moon-bounce.png,Landscape,1920x1080,Adventure & Platformer,platformer; puzzle; kids game; casual,pink cloudscape; black bunny; giant moon; floating cubes,dreamy; cute; surreal,flat two-dimensional; minimalist cartoon; side-scroller,turquoise,#3791DB,turquoise; pink; rose,#3791DB; #D484BA; #E95A8A; #3690DB; #124562,No baked-in UI detected,A black bunny bounces between red cubes above a sea of pink clouds. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; puzzle; kids game; casual; pink cloudscape; black bunny; giant moon; floating cubes; dreamy; cute; surreal; flat two-dimensional; minimalist cartoon; side-scroller; turquoise; pink; rose,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_fb22f6fd-3c4c-4b2f-bbd7-37e578e73ae4_0.png
Blushstone Crossing,blushstone-crossing.png,Landscape 1920x1080/Adventure & Platformer/blushstone-crossing.png,Landscape,1920x1080,Adventure & Platformer,platformer; precision platformer; adventure; puzzle,pink canyon ruins; tiny character; stone platforms; pastel sky,serene; mysterious; warm,painterly two-dimensional; stylized platformer art; side-scroller,turquoise,#5CA6C5,turquoise; crimson; violet; rose,#5CA6C5; #C54562; #3B303A; #EB7083; #EB8694,No baked-in UI detected,A tiny traveler crosses layered blush-colored canyon ruins under soft clouds. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; platformer; precision platformer; adventure; puzzle; pink canyon ruins; tiny character; stone platforms; pastel sky; serene; mysterious; warm; painterly two-dimensional; stylized platformer art; side-scroller; turquoise; crimson; violet; rose,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_fb22f6fd-3c4c-4b2f-bbd7-37e578e73ae4_1.png
Bloodmoon Hollow,bloodmoon-hollow.png,Landscape 1920x1080/Adventure & Platformer/bloodmoon-hollow.png,Landscape,1920x1080,Adventure & Platformer,metroidvania; platformer; dark fantasy; adventure,gothic ruins; red moon; bridges; fire,ominous; epic; atmospheric,pixel-inspired two-dimensional; painterly; dark fantasy art,teal,#102930,teal; red; magenta,#102930; #9A4B51; #6D909B; #75264A; #947178,No baked-in UI detected,A dark gothic platforming world glows beneath a red moon and distant fires. Optimized as a 1920 by 1080 landscape game background.,game background; environment art; ui-free; background only; landscape; full hd; Adventure & Platformer; metroidvania; platformer; dark fantasy; adventure; gothic ruins; red moon; bridges; fire; ominous; epic; atmospheric; pixel-inspired two-dimensional; painterly; dark fantasy art; teal; red; magenta,silverlakeslayer_platform_game_--no_ui_--ar_169_--raw_--profi_fb22f6fd-3c4c-4b2f-bbd7-37e578e73ae4_3.png
Skybrick Ascent,skybrick-ascent.png,Portrait 1080x1920/Adventure & Platformer/skybrick-ascent.png,Portrait,1080x1920,Adventure & Platformer,vertical platformer; endless jumper; mobile arcade; puzzle,red brick tower; clouds; tiny character; vertical level,focused; airy; playful,pixel art; two-dimensional; mobile game art,teal,#51B2C3,teal; red,#51B2C3; #794741; #51B1C2; #5FBECF; #50B2C3,No baked-in UI detected,A tiny character climbs a narrow red-brick tower floating among blue clouds. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; vertical platformer; endless jumper; mobile arcade; puzzle; red brick tower; clouds; tiny character; vertical level; focused; airy; playful; pixel art; two-dimensional; mobile game art; teal; red,silverlakeslayer_platform_game_--no_ui_--ar_916_--raw_--profi_40c266c5-a8c4-479c-ab90-0968b4ad9b22_1.png
Treetop Tinytown,treetop-tinytown.png,Portrait 1080x1920/Adventure & Platformer/treetop-tinytown.png,Portrait,1080x1920,Adventure & Platformer,vertical platformer; exploration; puzzle; adventure,jungle towers; treetop village; clouds; forest canopy,lush; mysterious; adventurous,painterly two-dimensional; stylized platformer art; vertical level,teal,#57A99A,teal; green; orange,#57A99A; #0F482E; #594C48; #B5EBA6; #94D3A3,No baked-in UI detected,A tiny treetop settlement climbs through a lush jungle of towers and clouds. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; vertical platformer; exploration; puzzle; adventure; jungle towers; treetop village; clouds; forest canopy; lush; mysterious; adventurous; painterly two-dimensional; stylized platformer art; vertical level; teal; green; orange,silverlakeslayer_platform_game_--no_ui_--ar_916_--raw_--profi_40c266c5-a8c4-479c-ab90-0968b4ad9b22_2.png
Cloudberry Coast,cloudberry-coast.png,Portrait 1080x1920/Adventure & Platformer/cloudberry-coast.png,Portrait,1080x1920,Adventure & Platformer,vertical platformer; kids game; casual adventure; puzzle,tropical floating islands; ocean; clouds; green platforms,sunny; gentle; inviting,cartoon two-dimensional; colorful platformer art; vertical level,turquoise,#4AB2E7,turquoise; brown; teal,#4AB2E7; #6E5931; #B4DEE8; #559FAB; #77C4CC,No baked-in UI detected,Sunny tropical platforms float above a calm ocean beneath soft white clouds. Optimized as a 1080 by 1920 portrait game background.,game background; environment art; ui-free; background only; portrait; full hd; Adventure & Platformer; vertical platformer; kids game; casual adventure; puzzle; tropical floating islands; ocean; clouds; green platforms; sunny; gentle; inviting; cartoon two-dimensional; colorful platformer art; vertical level; turquoise; brown; teal,silverlakeslayer_platform_game_--no_ui_--ar_916_--raw_--profi_40c266c5-a8c4-479c-ab90-0968b4ad9b22_3.png
